rok;okr;hhPO;maxPO;topPO;max3PO;top3PO;max6PO;top6PO;cum90PO;hhPSL;maxPSL;topPSL;max3PSL;top3PSL;max6PSL;top6PSL;cum90PSL;hhPiS;maxPiS;topPiS;max3PiS;top3PiS;max6PiS;top6PiS;cum90PiS;hhSLD;maxSLD;topSLD;max3SLD;top3SLD;max6SLD;top6SLD;cum90SLD;
2019;1;1634.9;32.4;32.4;60.6;60.6;81.6;79.0;10;1271.3;24.8;24.8;54.4;54.4;73.1;72.4;14;1385.3;25.2;18.1;56.3;55.6;80.5;80.5;11;3555.0;58.4;58.4;70.1;70.0;83.0;81.1;11;
2019;10;1778.8;30.2;30.2;65.5;65.5;88.3;82.8;7;2359.2;44.2;44.2;66.0;65.0;77.2;74.0;11;959.3;16.1;16.1;43.2;43.2;69.0;65.9;12;2223.4;34.3;34.3;71.3;69.0;83.7;83.7;9;
2019;11;2585.4;46.9;46.9;70.8;70.8;86.7;83.2;9;1384.8;29.9;29.9;54.6;51.4;73.6;66.4;14;1021.1;20.0;20.0;45.9;42.7;68.6;62.1;12;1760.2;30.4;30.4;63.9;61.4;75.7;70.5;14;
2019;12;1863.5;30.2;30.2;69.2;69.2;84.7;84.7;9;1551.3;32.5;32.5;56.1;56.1;73.6;70.4;11;1229.0;27.7;27.7;45.9;42.6;67.8;64.4;11;2027.9;39.8;39.8;63.2;60.6;80.3;78.8;10;
2019;13;1891.0;38.8;38.8;56.8;51.7;79.3;71.4;9;2204.4;44.2;44.2;63.0;63.0;72.3;71.2;15;3249.2;54.8;54.8;72.5;70.4;84.5;81.0;8;2274.8;41.8;41.8;68.5;68.5;78.1;76.1;12;
2019;14;2601.0;42.9;42.9;76.5;69.6;89.6;87.2;7;2073.7;42.3;42.3;60.3;54.7;74.3;67.8;12;1301.5;29.8;29.8;48.3;48.0;68.7;66.8;12;4679.2;67.6;67.6;78.9;78.6;87.0;86.0;8;
2019;15;2324.1;41.4;41.4;70.2;67.9;86.2;80.0;8;5371.7;72.9;72.9;78.9;78.9;86.3;85.8;9;1757.8;36.4;36.4;57.5;52.5;77.4;74.2;10;2681.9;48.3;48.3;71.9;71.9;80.7;80.3;11;
2019;16;2753.2;48.1;48.1;73.2;73.2;86.0;83.9;8;1370.4;29.8;29.8;53.1;53.1;68.5;67.3;13;1003.0;18.4;18.4;45.2;43.3;66.5;62.6;12;2419.9;46.5;46.5;64.0;58.5;76.5;71.4;12;
2019;17;1925.1;33.6;33.6;66.6;57.7;87.8;83.6;7;1693.7;37.3;37.3;53.3;53.3;68.7;67.8;13;1774.0;35.7;35.7;61.7;61.7;79.4;79.3;10;2622.3;48.4;48.4;66.8;66.8;80.4;79.9;10;
2019;18;3414.8;55.1;55.1;77.5;75.5;87.4;87.0;8;1597.9;35.0;35.0;55.1;55.1;73.4;67.1;14;1287.2;23.2;23.2;56.8;50.3;76.1;64.7;13;2113.9;41.2;41.2;67.5;67.5;76.1;74.2;13;
2019;19;5188.3;71.6;71.6;80.8;80.8;86.4;83.8;10;2455.8;46.3;46.3;69.8;69.8;77.1;75.2;20;4392.1;65.5;65.5;75.3;74.1;86.1;83.1;10;3338.9;56.0;56.0;71.3;70.7;84.2;80.9;10;
2019;2;3006.5;50.0;50.0;80.2;80.2;89.5;88.3;7;1826.5;37.1;37.1;59.5;49.5;76.5;72.1;11;2833.9;50.9;50.9;67.3;65.8;79.9;79.1;10;2246.9;41.3;41.3;69.3;69.3;83.8;82.0;9;
2019;20;2038.6;37.5;37.5;67.7;65.6;83.0;77.9;11;869.3;16.8;14.0;43.7;43.7;62.4;62.4;15;3229.7;55.2;55.2;70.2;66.7;80.4;76.3;11;2826.9;49.1;49.1;74.3;74.3;81.5;78.7;12;
2019;21;1811.0;36.9;36.9;60.7;57.8;77.3;75.9;11;3322.7;56.0;56.0;70.9;70.9;82.6;80.2;10;1340.0;25.2;25.2;54.0;54.0;79.4;72.5;10;2694.5;40.3;40.3;76.1;76.1;82.5;82.5;11;
2019;22;1564.1;29.9;29.9;61.5;61.5;80.8;73.5;9;1686.7;37.1;37.1;54.8;54.8;71.5;71.5;14;1025.3;24.8;24.8;43.7;43.7;62.0;57.8;15;2267.5;44.1;44.1;64.7;64.7;78.2;76.7;12;
2019;23;1549.7;27.5;27.5;64.4;64.4;78.6;75.7;11;1688.1;37.2;37.2;55.4;55.4;68.9;68.9;16;559.3;10.6;10.6;28.2;22.2;46.3;34.5;19;1860.7;40.2;40.2;55.7;55.6;68.9;68.0;16;
2019;24;1782.2;34.0;15.7;62.6;60.0;84.7;83.8;8;1218.3;27.7;27.7;49.8;48.5;69.4;68.5;15;1072.6;23.6;23.6;49.4;40.4;65.1;54.2;15;1542.9;28.4;28.4;62.1;57.1;78.7;64.4;13;
2019;25;1681.7;28.3;11.5;65.3;57.7;85.6;84.8;9;1094.7;23.9;23.9;49.8;49.8;62.9;61.6;16;3189.6;52.7;17.6;76.7;74.5;89.9;89.9;7;2172.8;32.7;32.7;70.2;68.3;81.9;81.9;11;
2019;26;2045.9;42.7;42.7;56.0;55.1;71.0;70.3;14;1974.1;41.8;41.8;56.2;48.7;65.7;56.0;17;1987.1;40.7;40.7;61.3;61.3;74.4;70.6;13;2742.0;50.3;50.3;67.3;67.3;76.0;73.9;15;
2019;27;2463.6;44.2;44.2;70.7;70.7;87.3;85.3;7;1681.8;36.4;36.4;55.8;55.8;72.0;69.9;12;1748.7;35.9;35.9;59.9;56.1;77.9;76.5;10;2687.7;49.3;49.3;66.9;63.8;79.7;76.2;11;
2019;28;3549.7;56.3;56.3;79.7;77.3;93.7;87.4;6;2044.2;39.5;39.5;65.1;65.1;81.5;78.3;9;1856.6;33.6;33.6;64.2;63.4;86.3;86.3;8;2104.9;41.8;41.8;59.7;56.9;80.0;80.0;9;
