okr;nrk;komitet;kandydat;glosy;procent;lprocent;wynik;plec
1;1;PSL;ŻUK Stanisław Adam;7694;1.78;24.81;T;M
1;2;PSL;SAMBORSKI Tadeusz;5703;1.32;18.39;N;M
1;3;PSL;SZCZĘSNA Mariola;3474;0.80;11.20;N;K
1;4;PSL;ROJEK Andrzej;3174;0.73;10.24;N;M
1;5;PSL;LASKOWSKI Stanisław;1382;0.32;4.46;N;M
1;6;PSL;JURKOWSKI Artur Andrzej;1032;0.24;3.33;N;M
1;7;PSL;RAK Zofia;1249;0.29;4.03;N;K
1;8;PSL;PIOTROWSKI Wiktor Marian;395;0.09;1.27;N;M
1;9;PSL;BRZOZOWSKA Bożena Maria;703;0.16;2.27;N;K
1;10;PSL;BURDYNA Olga;776;0.18;2.50;N;K
1;11;PSL;WRONA Maria;584;0.14;1.88;N;K
1;12;PSL;STANKIEWICZ Cecylia Ewa;491;0.11;1.58;N;K
1;13;PSL;SADOWSKI Roman Edward;626;0.14;2.02;N;M
1;14;PSL;GRZYB Stanisław;541;0.13;1.74;N;M
1;15;PSL;MATYS Waldemar Andrzej;250;0.06;0.81;N;M
1;16;PSL;SALATA Romuald Piotr;172;0.04;0.55;N;M
1;17;PSL;KRASOWSKI Marcin Karol;272;0.06;0.88;N;M
1;18;PSL;TUCHOWSKA Kazimiera Zofia;401;0.09;1.29;N;K
1;19;PSL;IMIELSKI Mariusz Janusz;87;0.02;0.28;N;M
1;20;PSL;ŁASICA Bartosz;625;0.14;2.02;N;M
1;21;PSL;OTROCIUK Barbara;231;0.05;0.75;N;K
1;22;PSL;BUKAT Eugenia;121;0.03;0.39;N;K
1;23;PSL;GNAT Stanisław;418;0.10;1.35;N;M
1;24;PSL;SUPIERZ Leszek Józef;605;0.14;1.95;N;M
1;1;PiS;LIPIŃSKI Adam Józef;33269;7.69;18.14;T;M
1;2;PiS;WITEK Elżbieta Barbara;46171;10.68;25.18;T;K
1;3;PiS;MACHAŁEK Marzena Anna;22481;5.20;12.26;T;K
1;4;PiS;KUBÓW Krzysztof Jan;23834;5.51;13.00;T;M
1;5;PiS;ZUBOWSKI Wojciech Michał;12868;2.98;7.02;T;M
1;6;PiS;SZYMAŃSKA Ewa Zofia;8930;2.07;4.87;T;K
1;7;PiS;ZEMBIK Teresa;3284;0.76;1.79;N;K
