okrnr;mandaty;wyborcy2011;mieszkancy2011;obwody;powiaty;gminy;mpp;mieszkancy2019;wyborcy2019;kandydaci2019;ludnosc2018.gus
1;12;801989;983604;683;12;74;2;928254;771870;142;980257
2;8;557291;671286;487;5;45;0;617015;520946;94;571030
3;14;980670;1180169;668;9;47;1;1200225;982739;167;1269713
4;12;812579;1001493;689;8;53;1;962422;792848;137;1022545
5;13;841167;1044571;725;11;87;3;1004505;816392;147;1060399
6;15;970089;1198049;942;10;92;1;1162122;954322;178;1257494
7;12;782685;971499;872;10;117;3;922538;766172;137;965592
8;12;808014;1001514;669;12;81;2;968131;792346;120;1073801
9;10;669264;789109;479;2;11;1;729136;624273;99;792488
10;9;592584;734927;507;7;67;2;707991;579457;89;722929
11;12;794134;970323;739;12;96;0;939985;777936;142;960898
12;8;512929;643133;418;5;42;0;639965;517156;80;650611
13;14;933615;1123273;775;3;30;1;1142054;950356;185;1204045
14;10;604838;786149;597;5;57;1;796442;626496;99;798380
15;9;569156;721057;514;6;50;1;734970;591583;89;735673
16;10;674762;840963;588;10;84;1;810923;662400;120;834425
17;9;581104;722712;519;8;60;1;694342;568835;118;712619
18;12;762035;960224;786;11;109;2;950195;763061;164;1047784
19;20;1493055;1607891;1135;0;0;1;1665309;1348505;199;1764615
20;12;804045;996204;585;8;56;0;1086276;852540;143;1029100
21;12;827591;997191;814;11;70;1;942765;794278;138;990069
22;11;710294;891969;755;10;80;2;868204;713192;110;874665
23;15;981103;1235152;939;11;76;2;1242302;1005149;168;1254473
24;14;958856;1187634;884;14;115;3;1147989;943406;201;1293124
25;12;829936;1025894;606;7;49;2;1019312;817343;120;1083705
26;14;929393;1181422;711;9;70;2;1191223;943392;140;1240546
27;9;610963;756866;476;4;43;1;757050;613466;89;777572
28;7;495295;598554;416;4;38;1;572006;478603;83;592861
29;9;634111;765709;466;2;17;3;708602;592132;108;778999
30;9;584310;716996;416;4;27;3;694795;568314;101;733278
31;12;807624;974971;547;1;5;8;901100;750239;117;979829
32;9;585638;697243;415;2;18;3;647273;545251;88;685641
33;16;1045948;1282217;948;13;101;1;1221330;1019919;210;1247732
34;8;508898;640733;434;8;54;1;606606;494419;88;628805
35;10;637830;796950;584;11;60;1;770404;631483;103;805140
36;12;797470;999198;659;11;73;2;983451;796125;115;1006893
37;9;616690;773778;500;8;66;1;760858;615539;103;778260
38;9;609423;772193;497;11;66;0;762404;609960;84;783794
39;10;686866;837362;486;1;17;1;860420;693988;100;920263
40;8;521444;642940;436;9;54;1;610717;503876;80;644588
41;12;837243;1025166;627;9;57;2;982056;810973;119;1060945
