okr;lmieszkancow2011;lmandatow;mm
1;986879;12;82240
2;675332;8;84417
3;1177802;14;84129
4;1003261;12;83605
5;1046849;13;80527
6;1199999;15;80000
7;974707;12;81226
8;1003220;12;83602
9;794636;10;79464
10;737045;9;81894
11;972481;12;81040
12;642662;8;80333
13;1120711;14;80051
14;784316;10;78432
15;719037;9;79893
16;842976;10;84298
17;724756;9;80528
18;960655;12;80055
19;1603233;20;80055
20;986074;12;82173
21;1001827;12;83486
22;893055;11;81187
23;1233497;15;82233
24;1190510;14;85036
25;1026157;12;85513
26;1178950;14;84211
27;756208;9;84023
28;600225;7;85746
29;771169;9;85685
30;718360;9;79818
31;980996;12;81750
32;700234;9;77804
33;1283669;16;80229
34;641373;8;80172
35;797764;10;79776
36;999418;12;83285
37;773727;9;85970
38;772319;9;85813
39;834183;10;83418
40;644377;8;80547
41;1026640;12;85553
