Wskaźnik;;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;Nakładyinwestycyjne.;NakładyinwestycyjnewedługsekcjiPKD;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;wtym;Wartośćkosztorysowainwestycjirozpoczętych
2000;1;x;x;x;x;x;x;x;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
2000;2;.;.;.;.;.;.;.;.;.;.;.;.;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2000;3;.;.;.;.;.;.;.;.;.;.;.;.;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2000;4;.;.;.;.;.;.;.;.;.;.;.;.;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2001;1;x;x;x;x;x;x;x;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
2001;2;.;.;.;.;.;.;.;.;.;.;.;.;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2001;3;.;.;.;.;.;.;.;.;.;.;.;.;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2001;4;.;.;.;.;.;.;.;.;.;.;.;.;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2002;1;x;x;x;x;x;x;x;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
2002;2;.;.;.;.;.;.;.;.;.;.;.;.;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2002;3;.;.;.;.;.;.;.;.;.;.;.;.;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2002;4;.;.;.;.;.;.;.;.;.;.;.;.;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2003;1;x;x;x;x;x;x;x;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
2003;2;.;.;.;.;.;.;.;.;.;.;.;.;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2003;3;.;.;.;.;.;.;.;.;.;.;.;.;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2003;4;.;.;.;.;.;.;.;.;.;.;.;.;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2004;1;x;x;x;x;x;x;x;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
2004;2;.;.;.;.;.;.;.;.;.;.;.;.;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2004;3;.;.;.;.;.;.;.;.;.;.;.;.;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2004;4;.;.;.;.;.;.;.;.;.;.;.;.;;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2005;1;x;x;x;x;x;x;x;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
2005;2;23473,6;-;23447,7;-;8094,2;-;12160,8;-;3012,4;-;25,9;-;;13712,2;-;1167,2;-;10426;-;2119;-;613,2;-;531,6;-;2422,5;-;2110,9;-;1748,2;-;497,9;-;13573,1
2005;3;39069,6;-;39026,4;-;13887;-;20458,8;-;4424,3;-;43,2;-;;23184,5;-;2020,3;-;17294,7;-;3869,5;-;1069,7;-;913,9;-;3917;-;3277,5;-;3084,3;-;917,8;-;20095,2
2005;4;63597,9;-;63528,7;-;23679,8;-;32554,1;-;6919,5;-;69,2;-;;36375,9;-;3263,2;-;26309,2;-;6803,5;-;1946,4;-;1295,1;-;6579,3;-;5150,6;-;5417,2;-;1590,9;-;29345,6
2006;1;x;x;x;x;x;x;x;x;x;x;x;x;;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
2006;2;25919,3;106,5;25884;106,5;8038,1;95,3;14590,2;117,9;3078,6;92,4;35,3;128,4;;15340,9;111,9;1364,2;116,9;11552;110,8;2424,7;114,4;712;116,1;559,2;105,2;2774,7;114,5;1550,9;73,5;2423,8;138,6;449,5;90,3;16170,9
