Wskaźnik;;Pracującywgospodarcenarodowej;Pracującywgospodarcenarodowej;Pracującywgospodarcenarodowej;Pracującywprzemyśle;wgórnictwieiwydobywaniu;wprzetwórstwieprzemysłowym;wwytwarzaniuizaopatrywaniuwenergięelektryczną,gaz,paręwodnąigorącąwodę;wdostawiewody,gospodarowaniuściekamiiodpadami,rekultywacji;Pracującywbudownictwie;Pracującywhandlu,naprawiepojazdówsamochodowych;Pracującywtransporcieigospodarcemagazynowej;Pracującywinformacjiikomunikacji;Pracującywdziałalnościfinansowejiubezpieczeniowej;Pracującywobsłudzerynkunieruchomości;Pracującywedukacji;Pracującywopiecezdrowotnejipomocyspołecznej;Przeciętnezatrudnieniewsektorzeprzedsiębiorstw;Przeciętnezatrudnieniewprzemyśle;wgórnictwieiwydobywaniu;wprzetwórstwieprzemysłowym;wwytwarzaniuizaopatrywaniuwenergięelektryczną,gaz,paręwodnąigorącąwodę;wdostawiewody,gospodarowaniuściekamiiodpadami,rekultywacji;Przeciętnezatrudnieniewbudownictwie;Przeciętnezatrudnieniewhandlu,naprawiepojazdówsamochodowych;Przeciętnezatrudnieniewtransporcieigospodarcemagazynowej;Przeciętnezatrudnieniewinformacjiikomunikacji;Przeciętnezatrudnieniewdziałalnościfinansowejiubezpieczeniowej;Przeciętnezatrudnieniewobsłudzerynkunieruchomości;Bezrobotnizarejestrowani;mężczyźni;kobiety;Bezrobotnizarejestrowanidotychczasniepracujący;Bezrobotnizarejestrowanizwolnienizprzyczynzakładupracy;Bezrobotnizarejestrowanibezprawadozasiłku;Bezrobotnizarejestrowaniwokresiedo12miesięcyoddniaukończenianauki;Bezrobotnizarejestrowanipozostającybezpracydłużejniż1rok;Stopabezrobociarejestrowanego;Ofertypracy;BezrobotniwgBAEL;mężczyźni;kobiety;BezrobotniwgBAELwmiastach;BezrobotniwgBAELnawsi;StopabezrobociawgBAEL;mężczyźni;kobiety;StopabezrobociawgBAELwmiastach;StopabezrobociawgBAELnawsi
2000;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2531,7;1153,3;1378,4;564,7;238,3;1948,3;152,5;1064;14;12,3;2880;1410;1470;1852;1027;16,7;15,2;18,5;17,1;16,1
2000;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2437,4;1069,1;1368,3;551,5;190,2;1901;76,6;1061,9;13,6;16,2;2825;1359;1466;1886;939;16,3;14,6;18,3;17,3;14,6
2000;3;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2528,8;1085,2;1443,6;621,5;185,9;2027,6;157,4;1121,9;14;15;2675;1278;1397;1796;878;15,4;13,6;17,5;16,6;13,3
2000;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2702,6;1211;1491,6;643,3;185,8;2154;167,9;1207,2;15,1;5,7;2760;1331;1429;1824;937;16;14,2;18,1;16,9;14,3
2001;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2898,7;1345,4;1553,3;670,4;218,7;2319,6;182,4;1301,8;16,1;8,8;3158;1592;1566;2083;1075;18,2;17;19,8;19,2;16,7
2001;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2849,2;1307,6;1541,6;644,9;222;2296,1;68,3;1327,1;15,9;12,1;3208;1589;1619;2123;1085;18,4;17;20;19,5;16,5
2001;3;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2920,4;1330,7;1589,7;706;229;2371,9;153;1410,2;16,3;11,8;3127;1537;1590;2078;1049;17,9;16,3;19,7;19,2;15,7
2001;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3115,1;1473;1642,1;739,4;243,1;2490,8;180,7;1506,1;17,5;5,3;3186;1613;1574;2103;1083;18,5;17,3;20;19,6;16,7
2002;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3259,9;1584,2;1675,7;764,1;248,8;2622,8;184,7;1601,8;20,1;8,7;3480;1825;1655;2282;1198;20,3;19,6;21;21,2;18,7
2002;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3090,9;1491,4;1599,5;704,9;221,3;2513,2;73,6;1558,3;19,4;14,2;3432;1788;1644;2271;1162;19,9;19,2;20,7;21,1;17,9
