teryt;okr;nrk;komitet;kandydat;glosy;procent;procentl;wynik;plec;terytMZ;mzam
020000;1;01;PO;ŁAPIŃSKI Marek;30874;12.08;37.96;T;M;022003;Trzebnica
020000;1;02;PO;PIASECKA Magdalena;20749;8.12;25.51;T;K;026401;Wrocław
020000;1;03;PO;ROMAN Grzegorz Czesław;4885;1.91;6.01;N;M;022308;Siechnice
020000;1;04;PO;WŁODARCZYK Monika;12190;4.77;14.99;T;K;026401;Wrocław
020000;1;05;PO;STASZEWSKI Waldemar Zbigniew;2539;0.99;3.12;N;M;026401;Wrocław
020000;1;06;PO;BALICKA Barbara Zofia;3626;1.42;4.46;N;K;026401;Wrocław
020000;1;07;PO;STANIÓW Katarzyna;1029;0.40;1.27;N;K;026401;Wrocław
020000;1;08;PO;RUSIN Anna Zofia;1862;0.73;2.29;N;K;026401;Wrocław
020000;1;09;PO;CYBULSKI Leszek;1426;0.56;1.75;N;M;026401;Wrocław
020000;1;10;PO;WOJTERA Marcin;2158;0.84;2.65;N;M;026401;Wrocław
020000;1;01;PSL;SOCHA Jan;625;0.24;33.19;N;M;026401;Wrocław
020000;1;02;PSL;BARTOSZEWICZ Urszula Agnieszka;381;0.15;20.23;N;K;026401;Wrocław
020000;1;03;PSL;CHUDY Stanisław Grzegorz;134;0.05;7.12;N;M;026401;Wrocław
020000;1;04;PSL;JAWORSKA Teresa Łucja;191;0.07;10.14;N;K;026401;Wrocław
020000;1;05;PSL;LECH Dominika Maria;105;0.04;5.58;N;K;026401;Wrocław
020000;1;06;PSL;RÓŻYCKI Dariusz Andrzej;110;0.04;5.84;N;M;026401;Wrocław
020000;1;07;PSL;MAJKUT-POLAŃSKA Anna;127;0.05;6.74;N;K;026401;Wrocław
020000;1;08;PSL;JĘCZMIEŃ Jacek;69;0.03;3.66;N;M;026401;Wrocław
020000;1;09;PSL;KOŚCIUKIEWICZ Adam Zenon;63;0.02;3.35;N;M;026401;Wrocław
020000;1;10;PSL;KŁYS Zbigniew Marian;78;0.03;4.14;N;M;026401;Wrocław
020000;1;01;PiS;JAROCH Andrzej Stanisław;31656;12.39;45.38;T;M;026401;Wrocław
020000;1;02;PiS;KRZYŻANOWSKI Marcin Rafał;10789;4.22;15.47;T;M;026401;Wrocław
020000;1;03;PiS;JÓŹWIAK Ireneusz Józef;3527;1.38;5.06;N;M;026401;Wrocław
020000;1;04;PiS;GŁOWACZ Władysława Barbara;5250;2.05;7.53;N;K;026401;Wrocław
020000;1;05;PiS;CALIŃSKA-MAYER Małgorzata Maria;6110;2.39;8.76;T;K;026401;Wrocław
020000;1;06;PiS;BURZYŃSKA Łucja Barbara;2322;0.91;3.33;N;K;026401;Wrocław
020000;1;07;PiS;DULSKA Irena;2110;0.83;3.02;N;K;026401;Wrocław
020000;1;08;PiS;MICHALSKI Łukasz Jan;2996;1.17;4.29;N;M;026401;Wrocław
020000;1;09;PiS;SCHILDHOFF Damian;374;0.15;0.54;N;M;026401;Wrocław
020000;1;10;PiS;MOLENDA Małgorzata;4629;1.81;6.64;N;K;026401;Wrocław
020000;1;01;SLD;SIKORA Arkadiusz;4568;1.79;50.59;N;M;021401;Oleśnica
020000;1;02;SLD;MIZA Agnieszka Joanna;1306;0.51;14.46;N;K;026401;Wrocław
020000;1;03;SLD;PERTEK Piotr Paweł;580;0.23;6.42;N;M;026401;Wrocław
020000;1;04;SLD;KLĄSKAŁA Andrzej;562;0.22;6.22;N;M;026401;Wrocław
020000;1;05;SLD;LANGE Grażyna Krystyna;821;0.32;9.09;N;K;026401;Wrocław
020000;1;06;SLD;UFNALSKA Wanda;285;0.11;3.16;N;K;026401;Wrocław
020000;1;07;SLD;TRELA Helena;311;0.12;3.44;N;K;026401;Wrocław
020000;1;08;SLD;SEREDYŃSKA-TARGOSZ Janina Wanda;126;0.05;1.40;N;K;026401;Wrocław
020000;1;09;SLD;KLARECKI Krzysztof Bronisław;130;0.05;1.44;N;M;026401;Wrocław
020000;1;10;SLD;MIROWSKI Dawid Jan;340;0.13;3.77;N;M;026401;Wrocław
020000;2;01;PO;BOCHNAK Wojciech Piotr;24187;9.68;39.35;T;M;021702;Kondratowice
020000;2;02;PO;MAJDZIK Marzena Joanna;6231;2.49;10.14;T;K;022309;Wojkowice
020000;2;03;PO;PAWŁOWICZ Beata Maria;4954;1.98;8.06;N;K;021501;Oława
020000;2;04;PO;SUŁKOWSKI Damian Janusz;5624;2.25;9.15;N;M;022006;Żmigród
020000;2;05;PO;SKORUPA Aleksander Marek;6427;2.57;10.46;T;M;022201;Brzeg Dolny
020000;2;06;PO;SKÓRZEWSKI Krzysztof Paweł;3063;1.23;4.98;N;M;021402;Bierutów
020000;2;07;PO;JAROŃ Lilla Urszula;3725;1.49;6.06;N;K;022302;Kiełczów
020000;2;08;PO;ŻMIEJEWSKI Zdzisław Michał;2584;1.03;4.20;N;M;020401;Góra
020000;2;09;PO;WALERYCH Lidia Maria;1173;0.47;1.91;N;K;021804;Środa Śląska
020000;2;10;PO;WÓJCIK Krystyna;3503;1.40;5.70;N;K;022305;Pełczyce
020000;2;01;PSL;BRONOWICKA Joanna Barbara;4722;1.89;37.28;N;K;021801;Jarząbkowice
020000;2;02;PSL;RÓŻYCKI Stanisław;1152;0.46;9.09;N;M;021401;Oleśnica
020000;2;03;PSL;KRZYSZTOFIK Jan Stefan;1323;0.53;10.44;N;M;021302;Pierstnica
020000;2;04;PSL;PUZIEWICZ-KARPIAK Magdalena;477;0.19;3.77;N;K;026401;Wrocław
020000;2;05;PSL;KRÓLIK Robert Tadeusz;782;0.31;6.17;N;M;021302;Wierzchowice
020000;2;06;PSL;BORKOWSKI Jarosław;713;0.29;5.63;N;M;022203;Wołów
020000;2;07;PSL;MATYJA Anna;811;0.32;6.40;N;K;022302;Mirków
020000;2;08;PSL;CIELEŃ Bożena Krystyna;1151;0.46;9.09;N;K;022005;Czeszów
020000;2;09;PSL;PILAWKA Elżbieta;668;0.27;5.27;N;K;020401;Ślubów
020000;2;10;PSL;SOŁTYS Jacek Jan;868;0.35;6.85;N;M;022308;Radwanice
020000;2;01;PiS;MROZEK Damian Remigiusz;25673;10.27;35.81;T;M;026401;Wrocław
020000;2;02;PiS;CZARTORYSKI Tytus Henryk;14836;5.94;20.69;T;M;022001;Morzęcin Mały
020000;2;03;PiS;MICHALSKA Anna;11020;4.41;15.37;T;K;021407;Syców
020000;2;04;PiS;MUZYKA Artur Krzysztof;5017;2.01;7.00;N;M;022302;Wilczyce
020000;2;05;PiS;WOJCIECHOWICZ Arkadiusz Robert;3026;1.21;4.22;N;M;026401;Wrocław
020000;2;06;PiS;LISOWSKI Mirosław Stanisław;2823;1.13;3.94;N;M;022006;Żmigród
020000;2;07;PiS;SZCZEBAK Jolanta Bożena;1706;0.68;2.38;N;K;026401;Wrocław
020000;2;08;PiS;KOLIBEK Anna Urszula;1618;0.65;2.26;N;K;020403;Żuchlów
020000;2;09;PiS;BRADKE Joanna Maria;765;0.31;1.07;N;K;026401;Wrocław
020000;2;10;PiS;MROZOWSKA Karolina Marta;5209;2.08;7.27;N;K;026401;Wrocław
020000;2;01;SLD;ELSNER Wincenty Aleksander;3059;1.22;33.94;N;M;026401;Wrocław
020000;2;02;SLD;BANACH Maria Teresa;1490;0.60;16.53;N;K;022308;Groblice
020000;2;03;SLD;FITEK Jerzy Andrzej;1141;0.46;12.66;N;M;022308;Radwanice
020000;2;04;SLD;ŁOPATOWSKI Stanisław;541;0.22;6.00;N;M;021504;Stanowice
020000;2;05;SLD;HABIERSKA Bogumiła;480;0.19;5.33;N;K;021303;Grabówka
020000;2;06;SLD;MAJER Krzysztof Bolesław;266;0.11;2.95;N;M;026401;Wrocław
020000;2;07;SLD;SAJ-MAZUR Renata Sylwia;481;0.19;5.34;N;K;022201;Brzeg Dolny
020000;2;08;SLD;KUPCZAK Jan;784;0.31;8.70;N;M;022004;Pierwoszów
020000;2;09;SLD;KRYMOWSKA Julia Zofia;304;0.12;3.37;N;K;022309;Jaksonów
020000;2;10;SLD;MOŁOŃ Radosław Tomasz;467;0.19;5.18;N;M;026401;Wrocław
020000;3;01;PO;KRAWCZYK Iwona Małgorzata;23144;9.46;38.90;T;K;020701;Kamienna Góra
020000;3;02;PO;IWANCZ Jacek Julian;6010;2.46;10.10;T;M;021901;Świdnica
020000;3;03;PO;JURCEWICZ Stanisław;9710;3.97;16.32;T;M;020204;Piława Górna
020000;3;04;PO;RAMBACHER Mateusz;2714;1.11;4.56;N;M;026501;Wałbrzych
020000;3;05;PO;SZCZYGIEŁ Zbigniew;4759;1.94;8.00;N;M;020806;Marianówka
020000;3;06;PO;WASĄG Renata;1451;0.59;2.44;N;K;026501;Wałbrzych
020000;3;07;PO;MAZUREK Violetta Grażyna;4160;1.70;6.99;N;K;021904;Bagleniec
020000;3;08;PO;MARCELEWICZ Jacek Krzysztof;1940;0.79;3.26;N;M;020802;Kłodzko
020000;3;09;PO;SILARSKA Katarzyna Hanna;1954;0.80;3.28;N;K;022407;Złoty Stok
020000;3;10;PO;LUDWICZUK Roman Edward;3656;1.49;6.14;N;M;026501;Wałbrzych
020000;3;01;PSL;LUBIŃSKI Mirosław Aleksander;6706;2.74;33.05;T;M;022108;Michałkowa
020000;3;02;PSL;SZYMIEC-RACZYŃSKA Halina Jadwiga;1412;0.58;6.96;N;K;020202;Dzierżoniów
020000;3;03;PSL;NOWAK Ryszard Mieczysław;2441;1.00;12.03;N;M;022406;Ziębice
020000;3;04;PSL;WACŁAWIK Grażyna Maria;689;0.28;3.40;N;K;020811;Bożków
020000;3;05;PSL;ZAJĄC Paulina;2264;0.93;11.16;N;K;021901;Świdnica
020000;3;06;PSL;BONIECKA Joanna Bogna;1059;0.43;5.22;N;K;020808;Lądek Zdrój
020000;3;07;PSL;WOŁYNIAK Przemysław Paweł;572;0.23;2.82;N;M;020806;Wilkanów
020000;3;08;PSL;GRZYBOWSKI Tadeusz;542;0.22;2.67;N;M;026501;Wałbrzych
020000;3;09;PSL;SKOTNICKI Wiktor Stanisław;728;0.30;3.59;N;M;022406;Biernacice
020000;3;10;PSL;LONGAWA Stanisław Tadeusz;3879;1.58;19.12;N;M;020807;Szalejów Dolny
020000;3;01;PiS;ZIELIŃSKI Kamil Krzysztof;32115;13.12;45.89;T;M;026501;Wałbrzych
020000;3;02;PiS;DEC Jerzy Grzegorz;8880;3.63;12.69;T;M;020811;Bożków
020000;3;03;PiS;ŻOŁNIERUK Beata Izabela;4578;1.87;6.54;N;K;022105;Głuszyca Górna
020000;3;04;PiS;SZYDŁOWSKA Ewelina Agnieszka;6325;2.58;9.04;N;K;021902;Świebodzice
020000;3;05;PiS;SŁOBODZIŃSKI Edward Jan;1543;0.63;2.20;N;M;020207;Niemcza
020000;3;06;PiS;MACKO Grzegorz;9629;3.93;13.76;T;M;022103;Szczawno-Zdrój
020000;3;07;PiS;OSTREK Paweł Dominik;959;0.39;1.37;N;M;020202;Dzierżoniów
020000;3;08;PiS;SZPYTMA Irena;2452;1.00;3.50;N;K;026401;Wrocław
020000;3;09;PiS;REJMAN-KULUS Monika;3498;1.43;5.00;N;K;022105;Głuszyca
020000;3;01;SLD;DYDUCH Marek;11486;4.69;63.85;N;M;026401;Wrocław
020000;3;02;SLD;SUŁAWA Jolanta Aleksandra;1556;0.64;8.65;N;K;021901;Świdnica
020000;3;03;SLD;RATAJ Henryk;1420;0.58;7.89;N;M;021901;Świdnica
020000;3;04;SLD;CHOJNACKA Cecylia Agnieszka;913;0.37;5.08;N;K;020802;Kłodzko
020000;3;05;SLD;GACH Bartosz Jerzy;272;0.11;1.51;N;M;022406;Ziębice
020000;3;06;SLD;KŁOSIŃSKA Alicja Zofia;581;0.24;3.23;N;K;021902;Świebodzice
020000;3;07;SLD;WOJCIESZAK Władysława;294;0.12;1.63;N;K;022103;Szczawno - Zdrój
020000;3;08;SLD;SMERECKI Marek Roman;270;0.11;1.50;N;M;020202;Dzierżoniów
020000;3;09;SLD;FUSZARA Anna Teresa;431;0.18;2.40;N;K;022405;Ząbkowice Śląskie
020000;3;10;SLD;SZEWCZYK Marek Jan;767;0.31;4.26;N;M;026501;Wałbrzych
020000;4;01;PO;POKÓJ Jerzy Jan;14396;8.09;34.66;T;M;020608;Ścięgny
020000;4;02;PO;MICHALSKI Jan;7618;4.28;18.34;N;M;022502;Zgorzelec
020000;4;03;PO;GRZEŚKÓW Alicja Teresa;2953;1.66;7.11;N;K;021203;Kotliska
020000;4;04;PO;MAGRYŚ Urszula;1412;0.79;3.40;N;K;020101;Bolesławiec
020000;4;05;PO;MISAN Henryka;1669;0.94;4.02;N;K;020701;Kamienna Góra
020000;4;06;PO;RÓG Anna Małgorzata;1382;0.78;3.33;N;K;026101;Jelenia Góra
020000;4;07;PO;ZAWISZA Jolanta Danuta;1624;0.91;3.91;N;K;021001;Lubań
020000;4;08;PO;ZAWIŁA Marcin Edward;10480;5.89;25.23;T;M;026101;Jelenia Góra
020000;4;01;PSL;BAĆKO Sylwester Ryszard;2809;1.58;29.67;N;M;020701;Kamienna Góra
020000;4;02;PSL;KOCON Grzegorz;1105;0.62;11.67;N;M;020101;Bolesławiec
020000;4;03;PSL;RAK Zofia;2359;1.33;24.92;N;K;021201;Gryfów Śląski
020000;4;04;PSL;LANGER Mariola Bronisława;522;0.29;5.51;N;K;020608;Staniszów
020000;4;05;PSL;DUMIN Joanna;650;0.37;6.87;N;K;026101;Jelenia Góra
020000;4;06;PSL;GREB Robert Maciej;238;0.13;2.51;N;M;022502;Zgorzelec
020000;4;07;PSL;KUBICKI Adam;1009;0.57;10.66;N;M;026101;Jelenia Góra
020000;4;08;PSL;DULNIK Jerzy Stanisław;776;0.44;8.20;N;M;026401;Wrocław
020000;4;01;PiS;KREDKOWSKI Andrzej;19298;10.85;43.16;T;M;021203;Lwówek Śląski
020000;4;02;PiS;LESZCZYK Wojciech Paweł;4876;2.74;10.91;N;M;026101;JeleniaGóra
020000;4;03;PiS;ZEMBIK Teresa;5455;3.07;12.20;T;K;021001;Lubań
020000;4;04;PiS;KARBOWSKI Jarosław Józef;2101;1.18;4.70;N;M;020106;Warta Bolesławiecka
020000;4;05;PiS;TROCZYŃSKA Danuta Anna;2695;1.51;6.03;N;K;021004;Uniegoszcz
020000;4;06;PiS;SIKORA Andrzej Piotr;4355;2.45;9.74;N;M;020702;Krzeszów
020000;4;07;PiS;ŻYŁA-MONIK Agata Emilia;2355;1.32;5.27;N;K;022502;Zgorzelec
020000;4;08;PiS;POTOCKI Jacek Krzysztof;3577;2.01;8.00;N;M;020607;Mysłakowice
020000;4;01;SLD;KUSIAK Józef;4787;2.69;35.57;N;M;026101;Jelenia Góra
020000;4;02;SLD;ZBIEG Grażyna Stanisława;1137;0.64;8.45;N;K;020101;Bolesławiec
020000;4;03;SLD;TYC Andrzej Jan;2505;1.41;18.61;N;M;022502;Zgorzelec
020000;4;04;SLD;MIRECKI Zdzisław;622;0.35;4.62;N;M;020101;Bolesławiec
020000;4;05;SLD;CISZEK Sylwia Małgorzata;553;0.31;4.11;N;K;020602;Kowary
020000;4;06;SLD;DUDZIK Jolanta;1103;0.62;8.20;N;K;021201;Gryfów Śląski
020000;4;07;SLD;KUBIENIEC Henryk Józef;747;0.42;5.55;N;M;020701;Kamienna Góra
020000;4;08;SLD;ADAMCZUK Andrzej Lucjan;2003;1.13;14.88;N;M;021007;Siekierczyn
020000;5;01;PO;BORYS Piotr;26697;13.57;58.05;T;M;021101;Lubin
020000;5;02;PO;ZAHORSKI Jacek Zbigniew;2734;1.39;5.94;N;M;020301;Głogów
020000;5;03;PO;SZELĄG Jadwiga;7332;3.73;15.94;T;K;022602;Złotoryja
020000;5;04;PO;FROST Paweł Marcin;2390;1.21;5.20;N;M;026201;Legnica
020000;5;05;PO;BROK Anna;3350;1.70;7.28;N;K;020301;Głogów
020000;5;06;PO;DWOJAK Jarosław Janusz;575;0.29;1.25;N;M;026201;Legnica
020000;5;07;PO;STRĄCZEK Joanna Dorota;976;0.50;2.12;N;K;020906;Grzymalin
020000;5;08;PO;DEMBEK Renata Helena;1936;0.98;4.21;N;K;021604;Polkowice
020000;5;01;PSL;SAMBORSKI Tadeusz;8657;4.40;59.66;N;M;020907;Rogów Legnicki
020000;5;02;PSL;GOŁĘBIOWSKA Wanda Józefa;2223;1.13;15.32;N;K;020504;Niedaszów
020000;5;03;PSL;DZBANUSZEK Józef;700;0.36;4.82;N;M;026201;Legnica
020000;5;04;PSL;STANKIEWICZ Cecylia Ewa;829;0.42;5.71;N;K;021102;Chróstnik
020000;5;05;PSL;WRONA Maria;926;0.47;6.38;N;K;020907;Cichobórz
