country,code,year,share
Afghanistan,AFG,2012,0.349938802
Afghanistan,AFG,2017,0.366301998
Albania,ALB,2012,1.680147423
Albania,ALB,2017,2.177064808
Algeria,DZA,2012,3.41027719
Algeria,DZA,2017,3.643711196
Andorra,AND,2012,5.911756499
Andorra,AND,2017,6.758706035
Angola,AGO,2012,1.322346884
Angola,AGO,2017,1.188211756
Antigua and Barbuda,ATG,2012,5.41401366
Antigua and Barbuda,ATG,2017,5.541469631
Argentina,ARG,2012,4.538229915
Argentina,ARG,2017,4.615284172
Armenia,ARM,2012,1.994589722
Armenia,ARM,2017,1.930212677
Australia,AUS,2012,17.84018714
Australia,AUS,2017,16.89501744
Austria,AUT,2012,7.943764984
Austria,AUT,2017,8.006654677
Azerbaijan,AZE,2012,3.831329088
Azerbaijan,AZE,2017,3.888005254
Bahamas,BHS,2012,5.28860684
Bahamas,BHS,2017,6.48609873
Bahrain,BHR,2012,20.34139266
Bahrain,BHR,2017,23.08459255
Bangladesh,BGD,2012,0.421266087
Bangladesh,BGD,2017,0.53475189
Barbados,BRB,2012,5.149040219
Barbados,BRB,2017,4.629426079
Belarus,BLR,2012,6.722611085
Belarus,BLR,2017,6.481791493
Belgium,BEL,2012,9.148239976
Belgium,BEL,2017,8.759565029
Belize,BLZ,2012,1.414667613
Belize,BLZ,2017,1.496810807
Benin,BEN,2012,0.545321597
Benin,BEN,2017,0.671284146
Bhutan,BTN,2012,1.00111564
Bhutan,BTN,2017,1.444209519
Bolivia,BOL,2012,1.805420873
Bolivia,BOL,2017,1.889787576
Bosnia and Herzegovina,BIH,2012,6.067703717
Bosnia and Herzegovina,BIH,2017,7.598164112
Botswana,BWA,2012,2.00334523
Botswana,BWA,2017,3.436365994
Brazil,BRA,2012,2.293881321
Brazil,BRA,2017,2.274693943
Brunei,BRN,2012,23.74852157
Brunei,BRN,2017,23.85571308
Bulgaria,BGR,2012,6.60286764
Bulgaria,BGR,2017,6.92649324
Burkina Faso,BFA,2012,0.153901913
Burkina Faso,BFA,2017,0.173756833
Burundi,BDI,2012,0.029357206
Burundi,BDI,2017,0.048704677
Cambodia,KHM,2012,0.360937264
Cambodia,KHM,2017,0.49597561
Cameroon,CMR,2012,0.283412972
Cameroon,CMR,2017,0.319584421
Canada,CAN,2012,16.15082562
Canada,CAN,2017,15.63945701
Cape Verde,CPV,2012,0.983760037
Cape Verde,CPV,2017,1.098081052
Central African Republic,CAF,2012,0.065276803
Central African Republic,CAF,2017,0.066694212
Chad,TCD,2012,0.046885455
Chad,TCD,2017,0.048906567
Chile,CHL,2012,4.604567268
Chile,CHL,2017,4.685933739
China,CHN,2012,7.00546028
China,CHN,2017,6.980228871
Colombia,COL,2012,1.692572343
Colombia,COL,2017,1.655473425
Comoros,COM,2012,0.197406157
Comoros,COM,2017,0.23280362
Congo,COG,2012,0.636856059
Congo,COG,2017,0.648144276
Costa Rica,CRI,2012,1.634463867
Costa Rica,CRI,2017,1.772404704
Cote d'Ivoire,CIV,2012,0.389517841
Cote d'Ivoire,CIV,2017,0.482590181
Croatia,HRV,2012,4.478728403
Croatia,HRV,2017,4.101254408
Cuba,CUB,2012,3.15642303
Cuba,CUB,2017,3.178521454
Cyprus,CYP,2012,6.316770925
Cyprus,CYP,2017,6.370803331
Czech Republic,CZE,2012,10.47668339
Czech Republic,CZE,2017,10.16129938
Democratic Republic of Congo,COD,2012,0.03409991
Democratic Republic of Congo,COD,2017,0.059179624
Denmark,DNK,2012,7.108051117
Denmark,DNK,2017,6.025955135
Djibouti,DJI,2012,0.586283244
Djibouti,DJI,2017,0.853731521
Dominica,DMA,2012,1.881738937
Dominica,DMA,2017,1.951275617
Dominican Republic,DOM,2012,2.13209281
Dominican Republic,DOM,2017,1.975367348
Ecuador,ECU,2012,2.429399327
Ecuador,ECU,2017,2.333691407
Egypt,EGY,2012,2.41413133
Egypt,EGY,2017,2.241489641
El Salvador,SLV,2012,1.045730153
El Salvador,SLV,2017,1.096297419
Equatorial Guinea,GNQ,2012,4.921350327
Equatorial Guinea,GNQ,2017,5.296955436
Eritrea,ERI,2012,0.138056883
Eritrea,ERI,2017,0.156455873
Estonia,EST,2012,13.53883215
Estonia,EST,2017,15.12582468
Ethiopia,ETH,2012,0.08815631
Ethiopia,ETH,2017,0.127634983
Fiji,FJI,2012,1.19171205
Fiji,FJI,2017,1.484686572
Finland,FIN,2012,9.44246799
Finland,FIN,2017,8.320500113
France,FRA,2012,5.878588439
France,FRA,2017,5.483273772
Gabon,GAB,2012,2.890035872
Gabon,GAB,2017,2.728914913
Gambia,GMB,2012,0.252111258
Gambia,GMB,2017,0.296200856
Georgia,GEO,2012,2.007782492
Georgia,GEO,2017,2.799476841
Germany,DEU,2012,10.0559435
Germany,DEU,2017,9.734893322
Ghana,GHA,2012,0.447664794
Ghana,GHA,2017,0.581433337
Greece,GRC,2012,8.034429274
Greece,GRC,2017,6.810206701
Grenada,GRD,2012,2.570472407
Grenada,GRD,2017,2.561817853
Guatemala,GTM,2012,0.762655753
Guatemala,GTM,2017,1.2344011
Guinea,GIN,2012,0.225395149
Guinea,GIN,2017,0.228405905
Guinea-Bissau,GNB,2012,0.154331226
Guinea-Bissau,GNB,2017,0.178012323
Guyana,GUY,2012,2.646713345
Guyana,GUY,2017,2.669599889
Haiti,HTI,2012,0.221483575
Haiti,HTI,2017,0.273005086
Honduras,HND,2012,1.033092685
Honduras,HND,2017,1.151540111
Hong Kong,HKG,2012,6.077047923
Hong Kong,HKG,2017,5.842941443
Hungary,HUN,2012,4.742653863
Hungary,HUN,2017,5.178665836
Iceland,ISL,2012,10.71707434
Iceland,ISL,2017,10.38736554
India,IND,2012,1.570590171
India,IND,2017,1.841996698
Indonesia,IDN,2012,2.54394411
Indonesia,IDN,2017,1.844165359
Iran,IRN,2012,7.85679811
Iran,IRN,2017,8.283504783
Iraq,IRQ,2012,4.60977381
Iraq,IRQ,2017,5.080511318
Ireland,IRL,2012,8.164557169
Ireland,IRL,2017,8.345488549
Israel,ISR,2012,9.713398203
Israel,ISR,2017,7.997698944
Italy,ITA,2012,6.562283687
Italy,ITA,2017,5.988119458
Jamaica,JAM,2012,2.611126353
Jamaica,JAM,2017,2.689219839
Japan,JPN,2012,10.13874942
Japan,JPN,2017,9.452613071
Jordan,JOR,2012,2.979402204
Jordan,JOR,2017,2.201192289
Kazakhstan,KAZ,2012,13.82059719
Kazakhstan,KAZ,2017,16.07231908
Kenya,KEN,2012,0.274182827
Kenya,KEN,2017,0.318274925
Kiribati,KIR,2012,0.584243948
Kiribati,KIR,2017,0.630672778
Kuwait,KWT,2012,30.00696335
Kuwait,KWT,2017,25.23698426
Kyrgyzstan,KGZ,2012,1.787563953
Kyrgyzstan,KGZ,2017,1.725877009
Laos,LAO,2012,0.23610549
Laos,LAO,2017,0.285495328
Latvia,LVA,2012,3.670127005
Latvia,LVA,2017,3.675913524
Lebanon,LBN,2012,4.549836122
Lebanon,LBN,2017,3.213688608
Lesotho,LSO,2012,1.150079811
Lesotho,LSO,2017,1.264391837
Liberia,LBR,2012,0.241876901
Liberia,LBR,2017,0.227767263
Libya,LBY,2012,8.455398928
Libya,LBY,2017,8.375000482
Liechtenstein,LIE,2012,5.070952524
Liechtenstein,LIE,2017,4.252228258
Lithuania,LTU,2012,4.653475408
Lithuania,LTU,2017,4.634082705
Luxembourg,LUX,2012,20.26360773
Luxembourg,LUX,2017,15.93043014
Macedonia,MKD,2012,4.319346434
Macedonia,MKD,2017,3.480992286
Madagascar,MDG,2012,0.11982138
