country,code,year,arrivals
Albania,ALB,2006,937000
Albania,ALB,2016,4070000
Algeria,DZA,2006,1638000
Algeria,DZA,2016,2039000
American Samoa,ASM,2006,25300
American Samoa,ASM,2016,20100
Andorra,AND,2006,2227000
Andorra,AND,2016,2831000
Angola,AGO,2006,121000
Angola,AGO,2016,397000
Antigua and Barbuda,ATG,2006,254000
Antigua and Barbuda,ATG,2016,265000
Arab World,,2006,56738332.5225115
Arab World,,2016,76571538.3881091
Argentina,ARG,2006,4173000
Argentina,ARG,2016,5559000
Armenia,ARM,2006,382000
Armenia,ARM,2016,1260000
Aruba,ABW,2006,694000
Aruba,ABW,2016,1102000
Australia,AUS,2006,5532000
Australia,AUS,2016,8263000
Austria,AUT,2006,20269000
Austria,AUT,2016,28121000
Azerbaijan,AZE,2006,682000
Azerbaijan,AZE,2016,2044000
Bahamas,BHS,2006,1601000
Bahamas,BHS,2016,1482000
Bahrain,BHR,2006,7289000
Bahrain,BHR,2016,10158000
Bangladesh,BGD,2006,200000
Barbados,BRB,2006,563000
Barbados,BRB,2016,632000
Belarus,BLR,2006,89000
Belarus,BLR,2016,9423500
Belgium,BEL,2006,6995000
Belgium,BEL,2016,7481000
Belize,BLZ,2006,247000
Belize,BLZ,2016,386000
Benin,BEN,2006,180000
Benin,BEN,2016,267000
Bermuda,BMU,2006,299000
Bermuda,BMU,2016,244000
Bhutan,BTN,2006,17300
Bhutan,BTN,2016,210000
Bolivia,BOL,2006,521000
Bolivia,BOL,2016,959000
Bosnia and Herzegovina,BIH,2006,256000
Bosnia and Herzegovina,BIH,2016,777000
Botswana,BWA,2006,1426000
Brazil,BRA,2006,5017000
Brazil,BRA,2016,6578000
British Virgin Islands,VGB,2006,356000
British Virgin Islands,VGB,2016,408000
Brunei,BRN,2006,158000
Brunei,BRN,2016,219000
Bulgaria,BGR,2006,5158000
Bulgaria,BGR,2016,8252000
Burkina Faso,BFA,2006,264000
Burkina Faso,BFA,2016,152000
Burundi,BDI,2006,214000
Burundi,BDI,2016,187000
Cambodia,KHM,2006,1700000
Cambodia,KHM,2016,5012000
Cameroon,CMR,2006,451000
Canada,CAN,2006,18265000
Canada,CAN,2016,19824000
Cape Verde,CPV,2006,242000
Cape Verde,CPV,2016,598000
Caribbean small states,,2006,5814000
Caribbean small states,,2016,6634747.90182106
Cayman Islands,CYM,2006,267000
Cayman Islands,CYM,2016,385000
Central African Republic,CAF,2006,13800
Central Europe and the Baltics,,2006,53482000
Central Europe and the Baltics,,2016,76673000
Chad,TCD,2006,46000
Chile,CHL,2006,2253000
Chile,CHL,2016,5641000
China,CHN,2006,49913000
China,CHN,2016,59270000
Colombia,COL,2006,2045000
Colombia,COL,2016,3317000
Comoros,COM,2006,28500
Comoros,COM,2016,26800
Congo,COG,2006,46000
Congo,COG,2016,224000
Costa Rica,CRI,2006,1725000
Costa Rica,CRI,2016,2925000
Cote d'Ivoire,CIV,2016,1583000
Croatia,HRV,2006,7988000
Croatia,HRV,2016,13809000
Cuba,CUB,2006,2150000
Cuba,CUB,2016,3968000
Curacao,CUW,2006,234000
Curacao,CUW,2016,441000
Cyprus,CYP,2006,2401000
Cyprus,CYP,2016,3187000
Czech Republic,CZE,2006,6435000
Czech Republic,CZE,2016,9321000
Democratic Republic of Congo,COD,2006,55000
Denmark,DNK,2006,9630000
Denmark,DNK,2016,10781000
Djibouti,DJI,2006,39500
Dominica,DMA,2006,84000
Dominica,DMA,2016,78000
Dominican Republic,DOM,2006,3965000
Dominican Republic,DOM,2016,5959300
Early-demographic dividend,,2006,132716613.477743
Early-demographic dividend,,2016,219286665.699803
East Asia & Pacific,,2006,160074884.590381
East Asia & Pacific,,2016,283791384.504969
East Asia & Pacific (IDA & IBRD),,2006,97119400.7971556
East Asia & Pacific (IDA & IBRD),,2016,159243734.87762
East Asia & Pacific (excluding high income),,2006,98288940.2964138
East Asia & Pacific (excluding high income),,2016,161136185.750777
Ecuador,ECU,2006,841000
Ecuador,ECU,2016,1418000
