Entity,Code,Year,Deaths_Self_Harm_Percent
Afghanistan,AFG,2012,0.6583662150423616
Afghanistan,AFG,2017,0.7611953464268293
Albania,ALB,2012,0.8550029775437599
Albania,ALB,2017,0.7440283788073858
Algeria,DZA,2012,1.0845430771100615
Algeria,DZA,2017,1.0115592835616354
American Samoa,ASM,2012,1.0866675194804032
American Samoa,ASM,2017,1.0628785881494622
Andean Latin America,,2012,1.1626897840808699
Andean Latin America,,2017,1.103344204162661
Andorra,AND,2012,1.6295759527122633
Andorra,AND,2017,1.4630467772181341
Angola,AGO,2012,0.8126648738122325
Angola,AGO,2017,0.9474983138211034
Antigua and Barbuda,ATG,2012,0.4851389215869496
Antigua and Barbuda,ATG,2017,0.46616513931388565
Argentina,ARG,2012,1.5453920045011493
Argentina,ARG,2017,1.5106399950234364
Armenia,ARM,2012,1.1493351365595819
Armenia,ARM,2017,1.0662238985374273
Australasia,,2012,1.8183936068664825
Australasia,,2017,1.7647041870494187
Australia,AUS,2012,1.8267342518435568
Australia,AUS,2017,1.7871933136804823
Austria,AUT,2012,1.8519550278737151
Austria,AUT,2017,1.7474370832763833
Azerbaijan,AZE,2012,0.6405411104411312
Azerbaijan,AZE,2017,0.5712804037488977
Bahamas,BHS,2012,0.5259551701143165
Bahamas,BHS,2017,0.5108563674571377
Bahrain,BHR,2012,2.800336531991663
Bahrain,BHR,2017,2.192667835660781
Bangladesh,BGD,2012,1.1517089503168592
Bangladesh,BGD,2017,1.0526358090396561
Barbados,BRB,2012,0.562966855519091
Barbados,BRB,2017,0.5360899431315492
Belarus,BLR,2012,2.340889394321795
Belarus,BLR,2017,1.9487149112457556
Belgium,BEL,2012,2.1402437670872887
Belgium,BEL,2017,1.9576498357232814
Belize,BLZ,2012,1.435032201406251
Belize,BLZ,2017,1.4905305043174282
Benin,BEN,2012,0.7488344782402095
Benin,BEN,2017,0.8593716717106361
Bermuda,BMU,2012,0.6575409203519401
Bermuda,BMU,2017,0.5937474142393605
Bhutan,BTN,2012,1.1273290945005237
Bhutan,BTN,2017,1.1836479118010566
Bolivia,BOL,2012,1.0044334596572657
Bolivia,BOL,2017,1.0023328676869458
Bosnia and Herzegovina,BIH,2012,0.8448946479462196
Bosnia and Herzegovina,BIH,2017,0.8418213799071489
Botswana,BWA,2012,1.0519675449570063
Botswana,BWA,2017,1.4054439494604531
Brazil,BRA,2012,1.0803356902975465
Brazil,BRA,2017,1.0484399864986318
Brunei,BRN,2012,1.457290277224875
Brunei,BRN,2017,1.4631474033653569
Bulgaria,BGR,2012,0.9149801138481625
Bulgaria,BGR,2017,0.9243418377465128
Burkina Faso,BFA,2012,0.6915719519074728
Burkina Faso,BFA,2017,0.8259990220183765
Burundi,BDI,2012,0.7962683430260091
Burundi,BDI,2017,0.8519737633216161
Cambodia,KHM,2012,0.6328951739245896
Cambodia,KHM,2017,0.6485610506203123
Cameroon,CMR,2012,0.9538707836197835
Cameroon,CMR,2017,1.1350747204625125
Canada,CAN,2012,1.7832523265681248
Canada,CAN,2017,1.651977526886225
Cape Verde,CPV,2012,2.7908777299875918
Cape Verde,CPV,2017,2.9018205876434564
Caribbean,,2012,1.3087125184596595
Caribbean,,2017,1.3092757765218106
Central African Republic,CAF,2012,0.7210151665113924
Central African Republic,CAF,2017,0.8116607845862014
Central Asia,,2012,1.7604592689909726
Central Asia,,2017,1.653026981627808
Central Europe,,2012,1.5099108612864287
Central Europe,,2017,1.3433793652943378
"Central Europe, Eastern Europe, and Central Asia",,2012,2.0454515375677236
"Central Europe, Eastern Europe, and Central Asia",,2017,1.9141108060794911
Central Latin America,,2012,1.2575701593854827
Central Latin America,,2017,1.1939454709662083
Central Sub-Saharan Africa,,2012,0.7189786871159095
Central Sub-Saharan Africa,,2017,0.8849110492978497
Chad,TCD,2012,0.47756929483931804
Chad,TCD,2017,0.5403557020718797
Chile,CHL,2012,2.0206995554832337
Chile,CHL,2017,1.834582887266144
China,CHN,2012,1.3672625201960231
China,CHN,2017,1.2302276632225102
Colombia,COL,2012,1.2952291773495719
Colombia,COL,2017,1.244135980329194
Comoros,COM,2012,0.8966998723964198
Comoros,COM,2017,0.9857029880928199
Congo,COG,2012,1.0636292953698228
Congo,COG,2017,1.2192630988397497
Costa Rica,CRI,2012,1.7416750442208224
Costa Rica,CRI,2017,1.6789631192709622
Cote d'Ivoire,CIV,2012,0.870940401685207
Cote d'Ivoire,CIV,2017,1.035563513227197
Croatia,HRV,2012,1.5203604708894611
Croatia,HRV,2017,1.3815736897944675
Cuba,CUB,2012,1.8445136552695716
Cuba,CUB,2017,1.7647129611185919
Cyprus,CYP,2012,0.9597201869544014
Cyprus,CYP,2017,0.910824813836353
Czech Republic,CZE,2012,1.5739818942841477
Czech Republic,CZE,2017,1.3724626573183418
Democratic Republic of Congo,COD,2012,0.6672636774950176
Democratic Republic of Congo,COD,2017,0.8452012902663629
Denmark,DNK,2012,1.3286385707423096
